Functional_Signature,Mean_Score_Diff,P_Value_MWU,N_TUSC2_Expressed,N_TUSC2_Not_Expressed,Q_Value_FDR,Significance
NK2_Developmental,0.005937670640900672,2.6766746184873275e-07,4345,27779,4.5297570466708615e-07,****
NKint_Developmental,0.007428156871527036,3.890171593813228e-05,4345,27779,6.11312679027793e-05,****
NK1A_Developmental,0.01458572422337967,2.0154261499895997e-13,4345,27779,4.926597255530132e-13,****
NK1B_Developmental,0.024463801310680544,1.0677046873696846e-35,4345,27779,7.829834374044354e-35,****
NK1C_Developmental,0.04690756942890473,2.6826021779319693e-82,4345,27779,5.901724791450332e-81,****
NK3_Developmental,0.014888046799097776,9.312331026050176e-13,4345,27779,2.0487128257310387e-12,****
Activating_Receptors,0.0186825765089928,3.9210490905256244e-14,4345,27779,1.0782884998945467e-13,****
Inhibitory_Receptors,0.008162439062268684,0.00038468617673216495,4345,27779,0.0005289434930067268,***
Cytotoxicity_Machinery,0.021707956967808917,1.9185603843357299e-28,4345,27779,1.0552082113846514e-27,****
Cytokine_Chemokine_Production,0.005276971582583001,0.02790751034880518,4345,27779,0.0323139593512481,*
Exhaustion_Suppression_Markers,0.004232860902383451,0.10976158468676508,4345,27779,0.1207377431554416,ns
Glycolysis,0.02019269131667417,4.2571681531816645e-17,4345,27779,1.3379671338570946e-16,****
NK_Oxidative_Phosphorylation,0.03564066631755358,1.1922651997140164e-50,4345,27779,1.311491719685418e-49,****
NK_Fatty_Acid_Metabolism,0.021212922410979385,9.830309429483504e-19,4345,27779,3.6044467908106186e-18,****
Acetylcholine_Receptors,,,0,0,,ns
Norepinephrine_Receptors,,,0,0,,ns
Dopamine_Receptors,,,0,0,,ns
Serotonin_Receptors,,,0,0,,ns
Substance_P_Receptors,,,0,0,,ns
Estrogen_Receptors,,,0,0,,ns
Testosterone_Receptors,,,0,0,,ns
Glutamate_Receptors,-0.0010996331404873059,0.9991305918186792,4345,27779,0.9991305918186792,ns
GABA_Receptors,,,0,0,,ns
Histamine_Receptors,,,0,0,,ns
Cannabinoid_Receptors,,,0,0,,ns
Opioid_Receptors,,,0,0,,ns
Neuropeptide_Y_Receptors,,,0,0,,ns
Somatostatin_Receptors,,,0,0,,ns
VIP_Receptors,,,0,0,,ns
CGRP_Receptors,,,0,0,,ns
Purinergic_Receptors,,,0,0,,ns
IL15_IL2_Downstream,0.013172785493641037,3.9405802963679786e-10,4345,27779,7.881160592735957e-10,****
IL12_Downstream,0.01470476659829989,2.8996906134047306e-08,4345,27779,5.3160994579086734e-08,****
IL18_Downstream,0.00849743050973012,0.00047691737059012953,4345,27779,0.0006171871854695794,***
IL21_Downstream,0.019416238236093286,6.84233255104669e-21,4345,27779,3.0106263224605434e-20,****
IL10_Downstream,-0.004450713990556909,0.9130733803110174,4345,27779,0.9565530650877324,ns
IL27_Downstream,0.008314722268554925,0.012456444839329962,4345,27779,0.015224543692514397,*
IL33_Downstream,0.0060398644296790205,8.804514370658697e-05,4345,27779,0.00012913287743632757,***
