Functional_Signature,Mean_Score_Diff,P_Value_MWU,N_TUSC2_Expressed,N_TUSC2_Not_Expressed,Q_Value_FDR,Significance
NK2_Developmental,0.01223040344492804,2.473673960142515e-10,3075,19713,4.94734792028503e-10,****
NKint_Developmental,0.017273893911782134,1.931810800220152e-10,3075,19713,4.214859927753059e-10,****
NK1A_Developmental,0.02288848870020127,2.0880373312164352e-16,3075,19713,6.264111993649306e-16,****
NK1B_Developmental,0.04684495144848633,1.7094116803765706e-66,3075,19713,1.3675293443012564e-65,****
NK1C_Developmental,0.0647512707385332,5.458918541884433e-100,3075,19713,1.3101404500522641e-98,****
NK3_Developmental,0.03365570724080147,1.4768478079234362e-32,3075,19713,5.907391231693745e-32,****
Activating_Receptors,0.01487327943085387,2.3104934023511432e-09,3075,19713,4.26552628126365e-09,****
Inhibitory_Receptors,0.02264131335062569,3.9531892823506836e-16,3075,19713,1.054183808626849e-15,****
Cytotoxicity_Machinery,0.04571522602068967,8.956979226293525e-61,3075,19713,4.299350028620892e-60,****
Cytokine_Chemokine_Production,0.0009817469404252988,0.9672121996947259,3075,19713,0.9672121996947259,ns
Exhaustion_Suppression_Markers,0.004388566653727194,0.346242077333641,3075,19713,0.41549049280036915,ns
Glycolysis,0.06625370820503163,1.4064845910419165e-83,3075,19713,1.6877815092503e-82,****
NK_Oxidative_Phosphorylation,0.03804303091331085,1.3402385966244646e-30,3075,19713,4.595103759855307e-30,****
NK_Fatty_Acid_Metabolism,0.05354973104400057,2.743276339542299e-66,3075,19713,1.6459658037253795e-65,****
Acetylcholine_Receptors,,,0,0,,ns
Norepinephrine_Receptors,,,0,0,,ns
Dopamine_Receptors,,,0,0,,ns
Serotonin_Receptors,,,0,0,,ns
Substance_P_Receptors,,,0,0,,ns
Estrogen_Receptors,,,0,0,,ns
Testosterone_Receptors,,,0,0,,ns
Glutamate_Receptors,-7.476416458768013e-05,0.8202057034031549,3075,19713,0.8558668209424225,ns
GABA_Receptors,-6.063938767005223e-05,0.5453315017345233,3075,19713,0.6206693128117162,ns
Histamine_Receptors,,,0,0,,ns
Cannabinoid_Receptors,,,0,0,,ns
Opioid_Receptors,,,0,0,,ns
Neuropeptide_Y_Receptors,,,0,0,,ns
Somatostatin_Receptors,,,0,0,,ns
VIP_Receptors,,,0,0,,ns
CGRP_Receptors,,,0,0,,ns
Purinergic_Receptors,-0.007377125366675349,1.3809335114853714e-08,3075,19713,2.3673145911177796e-08,****
IL15_IL2_Downstream,0.013557839137607108,1.829897937581064e-07,3075,19713,2.927836700129702e-07,****
IL12_Downstream,0.018976170333164344,3.104987665938946e-12,3075,19713,7.45197039825347e-12,****
IL18_Downstream,-0.0006623773902899033,0.5689468700774065,3075,19713,0.6206693128117162,ns
IL21_Downstream,0.01659710610503179,2.78573424472673e-07,3075,19713,3.93280128667303e-07,****
IL10_Downstream,0.001782115051480862,0.052629813827540124,3075,19713,0.06647976483478753,ns
IL27_Downstream,-0.010867280501501791,0.0006005146511618526,3075,19713,0.0008006862015491369,***
IL33_Downstream,0.010018438242692995,2.3376040653231297e-07,3075,19713,3.506406097984695e-07,****
