Functional_Signature,Mean_Score_Diff,P_Value_MWU,N_TUSC2_Expressed,N_TUSC2_Not_Expressed,Q_Value_FDR,Significance
NK2_Developmental,0.024597416880943523,1.2973164906519376e-28,4414,30428,3.891949471955813e-28,****
NKint_Developmental,0.027039068224550267,5.445802157359586e-26,4414,30428,1.3069925177663007e-25,****
NK1A_Developmental,0.023983125684164386,3.3263294417787877e-26,4414,30428,8.870211844743433e-26,****
NK1B_Developmental,0.04555510828350534,1.1381386775223777e-83,4414,30428,5.463065652107412e-83,****
NK1C_Developmental,0.06389366247608769,6.955664452625801e-141,4414,30428,1.6693594686301923e-139,****
NK3_Developmental,0.04260061304419249,4.774584654813141e-75,4414,30428,1.9098338619252564e-74,****
Activating_Receptors,0.007691017111417953,0.00024218696749577872,4414,30428,0.000341911012935217,***
Inhibitory_Receptors,0.022996227953959614,3.7587323594481383e-22,4414,30428,7.517464718896277e-22,****
Cytotoxicity_Machinery,0.05031474915679035,1.5226142990658744e-84,4414,30428,9.135685794395248e-84,****
Cytokine_Chemokine_Production,0.005430386433446177,0.0743894382153421,4414,30428,0.0892673258584105,ns
Exhaustion_Suppression_Markers,0.006879045682703783,0.04239381418819002,4414,30428,0.05355008107981898,ns
Glycolysis,0.06403333556359841,9.047659515225593e-118,4414,30428,1.0857191418270711e-116,****
NK_Oxidative_Phosphorylation,0.049635371856428745,1.164754462626814e-72,4414,30428,3.993443871863362e-72,****
NK_Fatty_Acid_Metabolism,0.06301820816160175,7.490421240700071e-110,4414,30428,5.992336992560057e-109,****
Acetylcholine_Receptors,,,0,0,,ns
Norepinephrine_Receptors,,,0,0,,ns
Dopamine_Receptors,,,0,0,,ns
Serotonin_Receptors,,,0,0,,ns
Substance_P_Receptors,,,0,0,,ns
Estrogen_Receptors,,,0,0,,ns
Testosterone_Receptors,,,0,0,,ns
Glutamate_Receptors,3.6096026799361614e-05,0.984042256774586,4414,30428,0.9977840452097925,ns
GABA_Receptors,2.0357113958679876e-05,0.8411997726504808,4414,30428,0.91767247925507,ns
Histamine_Receptors,,,0,0,,ns
Cannabinoid_Receptors,,,0,0,,ns
Opioid_Receptors,,,0,0,,ns
Neuropeptide_Y_Receptors,,,0,0,,ns
Somatostatin_Receptors,,,0,0,,ns
VIP_Receptors,,,0,0,,ns
CGRP_Receptors,,,0,0,,ns
Purinergic_Receptors,-0.008499664876984721,9.128186379733879e-15,4414,30428,1.4605098207574206e-14,****
IL15_IL2_Downstream,0.020361514674883563,2.0837281338206672e-20,4414,30428,3.5721053722640003e-20,****
IL12_Downstream,0.022689874863821957,2.145551739722857e-21,4414,30428,3.961018596411428e-21,****
IL18_Downstream,0.005347989308407075,0.038781972542189874,4414,30428,0.05170929672291983,ns
IL21_Downstream,0.025490599749532217,3.8389781445889446e-23,4414,30428,8.375952315466789e-23,****
IL10_Downstream,-0.0026380604750630907,0.2840610887038363,4414,30428,0.32464124423295576,ns
IL27_Downstream,0.0008354409097382498,0.9977840452097925,4414,30428,0.9977840452097925,ns
IL33_Downstream,0.014417719122533201,5.0402133857440436e-11,4414,30428,7.560320078616066e-11,****
