Subtype_1,Subtype_2,TUSC2+_Prop_1,TUSC2+_Prop_2,Proportion_Difference,Odds_Ratio,Fisher_P_Value,Comparison,FDR_Adjusted_P,Significant_FDR,Significance_Level
NK2,NKint,0.11327913279132791,0.13541989463898357,-0.022140761847655663,1.2260671228413165,0.02286363147191552,NK2 vs NKint,0.0428693090098416,True,*
NK2,NK1A,0.11327913279132791,0.12433327202501379,-0.01105413923368588,1.1114387331679143,0.21626969864683895,NK2 vs NK1A,0.24954195997712186,False,ns
NK2,NK1B,0.11327913279132791,0.1452401495542134,-0.0319610167628855,1.33008558346803,0.0011282198926995304,NK2 vs NK1B,0.004230824597623239,True,**
NK2,NK1C,0.11327913279132791,0.15669364468621466,-0.04341451189488675,1.4544641539772538,1.6091922955239313e-06,NK2 vs NK1C,8.045961477619655e-06,True,***
NK2,NK3,0.11327913279132791,0.1261201773417602,-0.012841044550432293,1.1297175463387625,0.1261622389936642,NK2 vs NK3,0.18924335849049628,False,ns
NKint,NK1A,0.13541989463898357,0.12433327202501379,0.011086622613969782,0.9065072478187332,0.14396196888075036,NKint vs NK1A,0.19631177574647776,False,ns
NKint,NK1B,0.13541989463898357,0.1452401495542134,-0.009820254915229837,1.084839123967095,0.260417007745953,NKint vs NK1B,0.2790182225849496,False,ns
NKint,NK1C,0.13541989463898357,0.15669364468621466,-0.021273750047231088,1.186284279939458,0.0047084348779408616,NKint vs NK1C,0.010326290798383498,True,*
NKint,NK3,0.13541989463898357,0.1261201773417602,0.00929971729722337,0.9214157408615027,0.1668257932730002,NKint vs NK3,0.20853224159125025,False,ns
NK1A,NK1B,0.12433327202501379,0.1452401495542134,-0.02090687752919962,1.1967241592138063,0.004818935705912299,NK1A vs NK1B,0.010326290798383498,True,*
NK1A,NK1C,0.12433327202501379,0.15669364468621466,-0.03236037266120087,1.3086318755795205,1.8699733207656043e-07,NK1A vs NK1C,1.4024799905742032e-06,True,***
NK1A,NK3,0.12433327202501379,0.1261201773417602,-0.0017869053167464122,1.016446082564307,0.7625915289579649,NK1A vs NK3,0.7625915289579649,False,ns
NK1B,NK1C,0.1452401495542134,0.15669364468621466,-0.011453495132001251,1.093511704852046,0.12423775801066753,NK1B vs NK1C,0.18924335849049628,False,ns
NK1B,NK3,0.1452401495542134,0.1261201773417602,0.019119972212453207,0.8493570341490108,0.004111855089615675,NK1B vs NK3,0.010326290798383498,True,*
NK1C,NK3,0.15669364468621466,0.1261201773417602,0.030573467344454458,0.7767242274411048,5.128350174133457e-09,NK1C vs NK3,7.692525261200185e-08,True,***
