Subtype_1,Subtype_2,TUSC2+_Prop_1,TUSC2+_Prop_2,Proportion_Difference,Odds_Ratio,Fisher_P_Value,Comparison,FDR_Adjusted_P,Significant_FDR,Significance_Level
NK2,NKint,0.11103151862464183,0.1355263157894737,-0.024494797164831855,1.2551971326164875,0.0009206020469207636,NK2 vs NKint,0.0023015051173019088,True,**
NK2,NK1A,0.11103151862464183,0.12256433139967277,-0.011532812775030932,1.1183787301292183,0.07198121628184592,NK2 vs NK1A,0.0899765203523074,False,ns
NK2,NK1B,0.11103151862464183,0.15460809646856158,-0.043576577843919745,1.4642466271178085,6.034686404290008e-07,NK2 vs NK1B,3.0173432021450037e-06,True,***
NK2,NK1C,0.11103151862464183,0.1691449814126394,-0.05811346278799756,1.6299487623583748,8.268895138672268e-14,NK2 vs NK1C,1.2403342708008403e-12,True,***
NK2,NK3,0.11103151862464183,0.13826043237807945,-0.02722891375343761,1.2845823766326645,0.00251470365175534,NK2 vs NK3,0.004715069347041263,True,**
NKint,NK1A,0.1355263157894737,0.12256433139967277,0.012961984389800923,0.890998474317681,0.058995300017350004,NKint vs NK1A,0.08849295002602502,False,ns
NKint,NK1B,0.1355263157894737,0.15460809646856158,-0.01908178067908789,1.1665471415358897,0.04200500232393263,NKint vs NK1B,0.07000833720655439,False,ns
NKint,NK1C,0.1355263157894737,0.1691449814126394,-0.033618665623165706,1.2985599791490194,4.7864157250477404e-05,NKint vs NK1C,0.00017949058968929027,True,***
NKint,NK3,0.1355263157894737,0.13826043237807945,-0.002734116588605756,1.023410859738759,0.7778966478937903,NKint vs NK3,0.7778966478937903,False,ns
NK1A,NK1B,0.12256433139967277,0.15460809646856158,-0.03204376506888881,1.3092582929832979,9.887714415162465e-05,NK1A vs NK1B,0.00029663143245487394,True,***
NK1A,NK1C,0.12256433139967277,0.1691449814126394,-0.04658065001296663,1.4574211029299973,6.315208073206117e-11,NK1A vs NK1C,4.736406054904588e-10,True,***
NK1A,NK3,0.12256433139967277,0.13826043237807945,-0.01569610097840668,1.1486112369860997,0.06509600091067705,NK1A vs NK3,0.08876727396910507,False,ns
NK1B,NK1C,0.15460809646856158,0.1691449814126394,-0.014536884944077816,1.1131654546247656,0.14366006863016825,NK1B vs NK1C,0.1539215021037517,False,ns
NK1B,NK3,0.15460809646856158,0.13826043237807945,0.016347664090482134,0.8772991877476329,0.1314427592522705,NK1B vs NK3,0.15166472221415828,False,ns
NK1C,NK3,0.1691449814126394,0.13826043237807945,0.03088454903455995,0.7881121212509777,0.0023816326362665566,NK1C vs NK3,0.004715069347041263,True,**
