Subtype_1,Subtype_2,TUSC2+_Prop_1,TUSC2+_Prop_2,Proportion_Difference,Odds_Ratio,Fisher_P_Value,Comparison,FDR_Adjusted_P,Significant_FDR,Significance_Level
NK2,NKint,0.11923349893541518,0.1334556895647614,-0.01422219062934621,1.137650385418918,0.01942859993699126,NK2 vs NKint,0.03417291034860221,True,*
NK2,NK1A,0.11923349893541518,0.11402467963929758,0.005208819296117606,0.9506917739641725,0.2558883864165352,NK2 vs NK1A,0.319860483020669,False,ns
NK2,NK1B,0.11923349893541518,0.13651021139376568,-0.017276712458350496,1.167805275637226,0.01280523412058752,NK2 vs NK1B,0.02743978740125897,True,*
NK2,NK1C,0.11923349893541518,0.1563233098741736,-0.037089810938758405,1.3687060643266407,2.1195288098906757e-10,NK2 vs NK1C,1.5896466074180068e-09,True,***
NK2,NK3,0.11923349893541518,0.13038130381303814,-0.011147804877622958,1.1075133023506432,0.12713434363164625,NK2 vs NK3,0.173365014043154,False,ns
NKint,NK1A,0.1334556895647614,0.11402467963929758,0.019431009925463816,0.8356625076992336,0.0024225420629728593,NKint vs NK1A,0.008652708905323256,True,**
NKint,NK1B,0.1334556895647614,0.13651021139376568,-0.0030545218290042864,1.0265062892825407,0.7427125116195075,NKint vs NK1B,0.7595205145680475,False,ns
NKint,NK1C,0.1334556895647614,0.1563233098741736,-0.022867620309412195,1.203099020462812,0.0030360557076523917,NKint vs NK1C,0.008652708905323256,True,**
NKint,NK3,0.1334556895647614,0.13038130381303814,0.003074385751723252,0.9735093632854726,0.7595205145680475,NKint vs NK3,0.7595205145680475,False,ns
NK1A,NK1B,0.11402467963929758,0.13651021139376568,-0.022485531754468102,1.2283742298176605,0.0017432219868925621,NK1A vs NK1B,0.008652708905323256,True,**
NK1A,NK1C,0.11402467963929758,0.1563233098741736,-0.04229863023487601,1.4396948641087342,8.443892479194285e-12,NK1A vs NK1C,1.2665838718791428e-10,True,***
NK1A,NK3,0.11402467963929758,0.13038130381303814,-0.016356624173740564,1.1649551754640308,0.0294937247878065,NK1A vs NK3,0.04424058718170975,True,*
NK1B,NK1C,0.13651021139376568,0.1563233098741736,-0.01981309848040791,1.1720327805333737,0.020503746209161323,NK1B vs NK1C,0.03417291034860221,True,*
NK1B,NK3,0.13651021139376568,0.13038130381303814,0.006128907580727538,0.9483715525658303,0.5412700741057321,NK1B vs NK3,0.6245423931989217,False,ns
NK1C,NK3,0.1563233098741736,0.13038130381303814,0.025942006061135447,0.8091681122896932,0.0034610835621293025,NK1C vs NK3,0.008652708905323256,True,**
