names,scores,logfoldchanges,pvals,pvals_adj,Overlapping_Ref_Blood_Subtypes
CTSC,6.5462666,37.904434,5.899328240762295e-11,2.0796311914335247e-07,NK1C
LCP1,6.393132,50.7014,1.6252154821935696e-10,3.6500246578211305e-07,NK1C
IL2RG,6.374833,55.296974,1.8316236497143684e-10,3.6500246578211305e-07,NK1C
APMAP,6.324518,44.76089,2.5402408116955056e-10,4.477428454694499e-07,"NK1A, NK1B, NK1C"
CAP1,6.0039325,32.934475,1.925948555783693e-09,2.8288974370202814e-06,NK1C
PRDX5,5.9607925,23.420063,2.5101769828039755e-09,3.211285757709972e-06,NK1C
PDIA3,5.7872257,41.53573,7.155829474868468e-09,5.5673671229921485e-06,NK1C
PPIB,5.7846856,53.476135,7.264804483650256e-09,5.5673671229921485e-06,NK1C
CTSD,5.597918,35.892246,2.1694110997084666e-08,1.3656442872664796e-05,NK1C
DBI,5.5022035,35.102818,3.7507373538182854e-08,2.203683219946703e-05,NK1C
CD160,5.491148,32.457726,3.993300894823255e-08,2.2705135991017645e-05,"NKint, NK1A, NK1B"
PLEK,5.347536,26.559269,8.915961634557358e-08,4.247371345154271e-05,NK1B
MSN,5.3132644,31.638685,1.0767872822280605e-07,4.744863159137949e-05,NK1B
PSME2,5.2920175,34.27672,1.209743411502935e-07,4.958822644453659e-05,NK1C
CLIC3,5.2126694,inf,1.861423518011495e-07,7.13248933227622e-05,"NK1A, NK1B, NK1C"
CX3CR1,5.2074184,17.769276,1.914861194157399e-07,7.181136895365598e-05,"NK1B, NK1C"
CALR,5.195943,48.29833,2.036846615351341e-07,7.47947050878807e-05,NK1C
LDHB,5.067492,19.073687,4.030910419672874e-07,0.0001224979776847,NK2
LSP1,4.9326143,43.681572,8.113634493487443e-07,0.0002072622051916,NK1C
PRKCH,4.855706,13.212898,1.1995846120947404e-06,0.0002745958230231,NK1B
PPDPF,4.8431225,33.662716,1.2781436380602014e-06,0.0002818293822627,NK3
NCL,4.8123684,19.782578,1.4915221506039609e-06,0.0003046927100434,NK1B
TTC38,4.776085,15.145204,1.7874115476885765e-06,0.0003432840987628,"NK1B, NK1C"
APOBEC3G,4.7755923,26.066992,1.791792640768304e-06,0.0003432840987628,NK3
IFITM3,4.7678576,33.064,1.861951597473824e-06,0.000349135732522,"NK2, NKint"
DHRS7,4.750717,21.94402,2.026966725553133e-06,0.0003721595365062,NK1C
AKR1C3,4.72728,14.947505,2.2754739520765413e-06,0.000399468320252,"NK1A, NK1B, NK1C"
CAPZB,4.712272,27.384577,2.449698122445625e-06,0.0004079838740209,NK1C
RHOA,4.672698,36.986324,2.9726857205080307e-06,0.0004678264152649,NK1C
RHOC,4.5696344,24.122356,4.885759278003231e-06,0.0006791156116888,NK1C
ANXA6,4.4589205,23.907438,8.23733976781695e-06,0.0009613558297738,NK1C
NCR3,4.368348,13.125217,1.2518982777759127e-05,0.0012609119453758,NK1C
PSMB10,4.3416443,23.847626,1.4142034412533042e-05,0.0013696016404137,NK1C
PPP1CA,4.2742143,23.772377,1.9181267647914128e-05,0.0016904451178106,NK1C
GIMAP7,4.270773,33.513172,1.9479654038416556e-05,0.0016997444657481,NK1C
ARPC5,4.2506847,19.03779,2.1311796815736988e-05,0.0017802925624368,NK1C
ICAM2,4.2304726,13.539159,2.3320107554728497e-05,0.0018941945426711,NK1A
ALOX5AP,4.177162,16.395342,2.951683080126829e-05,0.0022425157745825,"NK1A, NK1B, NK1C"
GNG2,4.1744127,12.560178,2.9875568389448807e-05,0.0022600290490662,NK1B
S100A11,4.1524515,19.34801,3.289321272552322e-05,0.0024157323645836,NK3
LBH,4.1454887,10.259911,3.390895430047112e-05,0.0024799967987556,"NK1A, NK1B"
XCL2,4.1395807,15.270804,3.479414314659587e-05,0.0025218365770375,"NK2, NKint"
LAPTM5,4.1388164,26.931534,3.4910253307452145e-05,0.0025218365770375,NK1C
NDUFB2,4.137015,15.084456,3.5185351032838013e-05,0.0025313346828767,NK1C
DSTN,4.127148,12.110424,3.6728961780881416e-05,0.002579221834063,NK3
KLRG1,4.1172624,16.776144,3.83399438414083e-05,0.0026677961836179,NK1A
ENO1,4.077259,20.579128,4.556971749893652e-05,0.0030540374168678,NK1C
MATK,4.0130763,16.355333,5.993253522582901e-05,0.0037998952010448,NKint
CD53,4.0023723,35.49874,6.271048678622068e-05,0.0039476251431925,NK1C
YWHAZ,3.9795933,26.880716,6.903324161401977e-05,0.0042328779531899,NK1B
WDR1,3.9616926,9.147937,7.442031186649924e-05,0.0044616748876153,NK1C
