names,scores,logfoldchanges,pvals,pvals_adj
UCP2,7.447133,72.05615,9.539043491396373e-14,5.604506019311749e-10
CTSC,6.5462666,37.904434,5.899328240762295e-11,2.0796311914335244e-07
LCP1,6.393132,50.7014,1.6252154821935696e-10,3.6500246578211305e-07
IL2RG,6.374833,55.296974,1.8316236497143684e-10,3.6500246578211305e-07
APMAP,6.324518,44.76089,2.540240811695506e-10,4.477428454694499e-07
CAP1,6.0039325,32.934475,1.925948555783693e-09,2.8288974370202814e-06
PRDX5,5.9607925,23.420063,2.5101769828039755e-09,3.211285757709972e-06
CSTB,5.9562125,23.564474,2.581509107788286e-09,3.211285757709972e-06
NEDD8,5.936312,28.961914,2.915044373275817e-09,3.211285757709972e-06
MANF,5.873834,17.647663,4.2582943533451e-09,3.950352435371617e-06
PA2G4,5.841562,23.563967,5.1713759804722745e-09,4.557533651590216e-06
TAPBP,5.83073,25.751062,5.518536450057104e-09,4.631891593747929e-06
PDIA3,5.7872257,41.53573,7.155829474868468e-09,5.5673671229921485e-06
PPIB,5.7846856,53.476135,7.264804483650256e-09,5.5673671229921485e-06
PGAM1,5.7660346,22.382727,8.115840424542125e-09,5.9604084717908125e-06
RBIS,5.736095,21.13976,9.68844854683834e-09,6.568022849483561e-06
ISCU,5.639561,14.958953,1.7048412443240593e-08,1.1129456212020692e-05
CTSD,5.597918,35.892246,2.1694110997084663e-08,1.3656442872664796e-05
DBI,5.5022035,35.102818,3.750737353818285e-08,2.203683219946703e-05
CD160,5.491148,32.457726,3.993300894823255e-08,2.2705135991017645e-05
YWHAB,5.4571114,42.218204,4.83942251956947e-08,2.665614416560359e-05
ATP6V1F,5.3620653,16.987429,8.227574509245495e-08,4.227222579001762e-05
SYNE2,5.3551545,21.85967,8.548340859395545e-08,4.227222579001762e-05
PLEK,5.347536,26.559269,8.915961634557358e-08,4.247371345154271e-05
AC004687.1,5.3257775,20.912981,1.0052215622916625e-07,4.662640857092853e-05
MSN,5.3132644,31.638685,1.0767872822280605e-07,4.744863159137949e-05
HCLS1,5.2992353,25.515009,1.1628858566463698e-07,4.9039021099275074e-05
MPHOSPH8,5.2983522,16.141516,1.1685231397762132e-07,4.9039021099275074e-05
PSME2,5.2920175,34.27672,1.209743411502935e-07,4.958822644453659e-05
COPS9,5.242844,21.196064,1.5812002691736895e-07,6.193385765434546e-05
