Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),27/60,4.4550678388223765e-24,1.2273711895955644e-20,0,0,24.089521165857043,1295.245372684279,NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB4;NDUFB3;NDUFB2;ATP5MC3;NDUFB1;ATP5MC1;ATP5F1B;NDUFV2;NDUFV1;ATP5MF;ATP5PF;ATP5PD;NDUFA6;ATP5PB;NDUFA3;NDUFA2;ATP5F1C;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;ATP5PO
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),25/53,4.9751904856675874e-23,6.853324894007101e-20,0,0,26.21493803000652,1346.2679716203131,NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ATP5F1B;NDUFV2;NDUFV1;ATP5MF;ATP5PF;ATP5PD;NDUFA6;ATP5PB;NDUFA3;NDUFA2;ATP5F1C;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;ATP5PO
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),26/63,4.842121871528882e-22,4.446681918687355e-19,0,0,20.65367501647989,1013.6724357629708,NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ATP5F1B;NDUFV2;NDUFV1;ATP5MF;ATP5PF;ATP5PD;NDUFA6;ATP5PB;NDUFA3;NDUFA2;ATP5F1C;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;ATP5PO;UQCRC2
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),27/70,6.685724818627059e-22,4.604792968829387e-19,0,0,18.47772057518196,900.9163265761232,NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX6A1;COX5A;CYC1;NDUFV2;NDUFV1;COX8A;NDUFA6;NDUFA3;NDUFA2;COX6B1;NDUFS7;SDHAF2;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;UQCRC2
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),29/85,1.1642222335630696e-21,6.414864506932513e-19,0,0,15.275596149639028,736.3178555038386,NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ETFA;UQCR11;UQCR10;COX6A1;COX5A;BLOC1S1;CYC1;NDUFV2;NDUFV1;COX8A;NDUFA6;MDH2;NDUFA3;NDUFA2;COX6B1;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;UQCRC2
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),26/68,5.0532767662585905e-21,2.3202962485070694e-18,0,0,18.190185830429733,850.1046931535634,NDUFB8;NDUFB7;NDUFB6;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX6A1;COX5A;CYC1;NDUFV2;NDUFV1;COX8A;NDUFA6;NDUFA3;NDUFA2;COX6B1;NDUFS7;SDHAF2;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;UQCRC2
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",17/34,1.272187951822929e-16,5.006968296103099e-14,0,0,29.02406015037594,1062.2986914178257,NDUFB8;NDUFB7;NDUFA6;NDUFB6;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFB1;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;NDUFV2;NDUFV1
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),21/59,1.7491461082948751e-16,6.023621910440478e-14,0,0,16.1191177641532,584.8375986783104,NDUFB8;NDUFB7;NDUFA6;NDUFB6;NDUFA12;MDH2;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFB1;NDUFS7;NDUFS6;BLOC1S1;NDUFS5;NDUFAB1;NDUFS3;UQCRC2;NDUFV2;NDUFV1
GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",30/180,5.496210674071763e-13,1.6824511563408563e-10,0,0,5.879754601226994,165.98281075992176,SF3B5;SF3B2;DDX46;YTHDC1;HNRNPU;HNRNPR;RNF113A;SNRPD1;MAGOH;RALY;IK;HNRNPA3;SNRPN;BUD31;PRPF40A;CWC15;LSM4;CDC40;LSM3;LSM2;LSM7;PHF5A;DDX39B;FRG1;SRSF3;SNRPE;PRPF31;SNRPF;SRSF8;SNRPB
GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",32/211,1.3248631110353098e-12,3.6499978709022777e-10,0,0,5.263841856467555,143.9645586524082,SF3B5;SF3B2;DDX46;YTHDC1;HNRNPU;HNRNPR;RNF113A;SNRPD1;MAGOH;RALY;SRPK2;IK;HNRNPA3;SNRPN;BUD31;PRPF40A;CWC15;LSM4;CDC40;LSM3;LSM2;LSM7;PHF5A;DDX39B;FRG1;STRAP;SRSF3;PRPF31;SNRPE;SNRPF;SRSF8;SNRPB
