names,scores,logfoldchanges,pvals,pvals_adj,Overlapping_Ref_Blood_Subtypes
CRIP1,14.896818,0.8770124,3.456516212897508e-50,8.505295172585541e-47,NK3
SH2D2A,12.932069,0.69002837,2.967237247098052e-38,3.0797640134687703e-35,NK1A
MIF,12.751188,0.6581315,3.070280981617254e-37,2.761820085664107e-34,NKint
TAGLN2,12.578441,0.6169111,2.7745120734654224e-36,2.339780712954309e-33,NK2
CREM,12.035983,0.6286478,2.298792264785476e-33,1.824564942867672e-30,NK1A
NME2,11.92908,0.86503243,8.349069506073785e-33,5.929157623444925e-30,"NK2, NKint"
RHOA,11.8636875,0.52001,1.8274481909998376e-32,1.2328879220580405e-29,NK1C
WDR1,10.594876,0.5596586,3.147570947704685e-26,1.3271929624181035e-23,NK1C
GNG2,10.43352,0.5064108,1.7430858285492596e-25,6.917487377827988e-23,NK1B
PSMB10,10.409498,0.6146706,2.244020987249877e-25,8.444109772997261e-23,NK1C
IL2RG,10.343549,0.45905352,4.476487144971908e-25,1.632465974246107e-22,NK1C
PPIB,10.086837,0.4829973,6.317217502979512e-24,1.8941825726156118e-21,NK1C
CALR,9.841774,0.4681589,7.438746410549959e-23,2.007420106351012e-20,NK1C
RAP1B,9.629921,0.47339872,5.9775307827007595e-22,1.4936078305737283e-19,NK1C
LITAF,9.396367,0.4344374,5.647945947091561e-21,1.2916565197306173e-18,NK1A
SH2D1B,9.049628,0.49058178,1.4345576392702786e-19,2.8052878589382417e-17,"NK1A, NK1B"
CD99,8.766823,0.4361158,1.837783658908898e-18,3.3509749877915893e-16,"NK1C, NK3"
YWHAZ,8.733777,0.39977977,2.4630538666673335e-18,4.3161020549275757e-16,NK1B
DDIT4,8.543772,0.40772292,1.2991039955886489e-17,2.111904844876824e-15,"NK1A, NK1B"
FXYD5,8.091399,0.42387557,5.898323486723673e-16,7.65250757753486e-14,NK2
CD38,7.8999934,0.51731825,2.7891802285905695e-15,3.3602150736046925e-13,NK1B
PRDX5,7.6888494,0.40035975,1.4846390961519946e-14,1.6252059430516574e-12,NK1C
