names,scores,logfoldchanges,pvals,pvals_adj
IFITM1,17.802025,0.9293199,6.816016594052214e-71,4.5984255951773265e-67
CRIP1,14.896818,0.8770124,3.4565162128975073e-50,8.505295172585541e-47
PPIA,14.595182,0.53700083,3.014052870951462e-48,5.0835769234685105e-45
ATP6V0C,14.584257,0.95641804,3.5375394187670226e-48,5.3035577086026044e-45
GABARAP,13.140335,0.7824167,1.9336841577525367e-39,2.1742666950462484e-36
SH2D2A,12.932069,0.69002837,2.967237247098052e-38,3.0797640134687703e-35
MIF,12.751188,0.6581315,3.070280981617254e-37,2.761820085664107e-34
TAGLN2,12.578441,0.6169111,2.7745120734654224e-36,2.339780712954309e-33
CREM,12.035983,0.6286478,2.298792264785476e-33,1.824564942867672e-30
RAC2,11.95754,0.4927051,5.929261189492372e-33,4.444640068323366e-30
NME2,11.92908,0.86503243,8.349069506073785e-33,5.929157623444925e-30
RHOA,11.8636875,0.52001,1.8274481909998376e-32,1.2328879220580405e-29
RNASEK,11.762329,0.72403,6.102715685844802e-32,3.92114013090971e-29
PCBP1,11.702694,0.5452151,1.2346985492245776e-31,7.572630693039648e-29
IFITM2,11.23074,0.40374377,2.880573376896408e-29,1.439539873128268e-26
TNFRSF1B,11.20455,0.5746874,3.873189753510321e-29,1.8664624765755273e-26
CDK2AP2,10.773329,0.6109859,4.600629479802731e-27,2.002461082934782e-24
WDR1,10.594876,0.5596586,3.147570947704685e-26,1.3271929624181035e-23
GNG2,10.43352,0.5064108,1.7430858285492596e-25,6.917487377827988e-23
PSMB10,10.409498,0.6146706,2.244020987249877e-25,8.444109772997261e-23
IL2RG,10.343549,0.45905352,4.476487144971908e-25,1.6324659742461067e-22
PCBP2,10.3377285,0.5009155,4.756769468355134e-25,1.6890286956977847e-22
CCNI,10.29063,0.5115955,7.766612316523511e-25,2.6870487176115827e-22
PGAM1,10.176278,0.5472908,2.5305487412942913e-24,8.536173541570968e-22
PFN1,10.160688,0.29411936,2.9697173796299836e-24,9.773267464231065e-22
LDHA,10.103482,0.47757435,5.331466732142801e-24,1.712797157542924e-21
VPS37B,10.099325,0.5263941,5.562367963364586e-24,1.733395378877966e-21
CDC37,10.097748,0.53983724,5.652515872721448e-24,1.733395378877966e-21
PPIB,10.086837,0.4829973,6.317217502979512e-24,1.894182572615612e-21
SELPLG,10.070245,0.5495859,7.479136941775324e-24,2.193825972942923e-21
PGK1,10.0110035,0.5133594,1.3636177195841262e-23,3.873308469813157e-21
PSMA6,10.009974,0.6885794,1.3778908067222377e-23,3.873308469813157e-21
EMD,9.928411,0.60230905,3.1320749766178847e-23,8.624711767245943e-21
CALR,9.841774,0.4681589,7.438746410549959e-23,2.007420106351012e-20
RALY,9.688769,0.521604,3.3656028263896165e-22,8.733092103168288e-20
RAP1B,9.629921,0.47339872,5.977530782700759e-22,1.4936078305737283e-19
CST7,9.545168,0.31014776,1.3588756192797784e-21,3.333692496534918e-19
FAM177A1,9.521997,0.50963557,1.6988213064457762e-21,4.0932492656915822e-19
P4HB,9.475773,0.49679327,2.6479339269842632e-21,6.268170609964679e-19
LITAF,9.396367,0.4344374,5.647945947091561e-21,1.2916565197306173e-18
SH3BGRL3,9.280014,0.36777568,1.6945641654795073e-20,3.748320374559834e-18
ARF5,9.268722,0.54113793,1.8839093998500542e-20,4.099933795512384e-18
ALDOA,9.191438,0.47423497,3.8762521623959894e-20,8.046503142647552e-18
RPN1,9.170596,0.65130985,4.7041224585540424e-20,9.617079444434802e-18
NFATC2,9.086796,0.5581275,1.0200083038372955e-19,2.0239664770112687e-17
SH2D1B,9.049628,0.49058178,1.4345576392702786e-19,2.8052878589382417e-17
ARHGDIA,8.977911,0.47378734,2.7595637826785874e-19,5.31925630281174e-17
WAS,8.845578,0.5012306,9.10552191495852e-19,1.7304339042047226e-16
RAB1B,8.816534,0.646444,1.1805718325230931e-18,2.2124244078102912e-16
MAPRE2,8.770681,0.4883221,1.7758882980829194e-18,3.2824740830181965e-16
CD99,8.766823,0.4361158,1.837783658908898e-18,3.350974987791589e-16
GNG5,8.757974,0.45535973,1.9879165943009207e-18,3.5763944809203097e-16
GNB2,8.753685,0.47486037,2.064964696877761e-18,3.66612745460153e-16
YWHAZ,8.733777,0.39977977,2.4630538666673335e-18,4.3161020549275757e-16
ARHGDIB,8.594085,0.3460945,8.393140599534042e-18,1.4156080763689104e-15
SLC25A3,8.59259,0.43361205,8.503052775323472e-18,1.416440630832588e-15
UBE2V1,8.545767,0.7340215,1.2768518053482193e-17,2.101044074337015e-15
DDIT4,8.543772,0.40772292,1.2991039955886489e-17,2.111904844876824e-15
SLC25A5,8.541333,0.43763632,1.3268232306823089e-17,2.1312887918567133e-15
RASSF5,8.530711,0.45228538,1.454512959729665e-17,2.3089109841920436e-15
SLA2,8.484133,0.52254754,2.1733383647612648e-17,3.409866808805087e-15
PPP2R1A,8.379605,0.52472985,5.3105416351203336e-17,8.236222791112491e-15
BCAP31,8.313112,0.45416722,9.322432353556152e-17,1.4294043153015135e-14
CSNK2B,8.283941,0.4643016,1.1916471056956584e-16,1.8066173479945528e-14
CACYBP,8.271269,0.52029586,1.3254073957119892e-16,1.9870802211490967e-14
LYN,8.257655,0.4785403,1.485620053186531e-16,2.202799052488556e-14
SHISA5,8.234691,0.4931741,1.8002163427207102e-16,2.6118622701430693e-14
TOMM5,8.215569,0.60311335,2.111610433127068e-16,3.031059529168461e-14
SQSTM1,8.211657,0.42476627,2.1815824658321085e-16,3.098536022260278e-14
AUP1,8.182933,0.496006,2.770173507079617e-16,3.853397023817038e-14
PSMB6,8.159951,0.4474169,3.3516021724302596e-16,4.567996779050656e-14
XRCC6,8.145554,0.4407486,3.775511898552195e-16,5.0942982047164764e-14
YWHAB,8.119011,0.41741017,4.699971600609042e-16,6.278882852179981e-14
ARL6IP1,8.117027,0.4237677,4.77739983887318e-16,6.31975059077606e-14
TPI1,8.107023,0.4254318,5.18750767725979e-16,6.795635057210326e-14
FXYD5,8.091399,0.42387557,5.898323486723673e-16,7.652507577534859e-14
DAZAP2,8.078062,0.41707537,6.580391352143753e-16,8.456116239473873e-14
PDIA6,8.027307,0.44238222,9.963599652483339e-16,1.2682910387826196e-13
ZAP70,7.9734955,0.41797996,1.5424820855870113e-15,1.9451131570864993e-13
VCP,7.9546547,0.46448904,1.796317941163781e-15,2.223643851387422e-13
SF3B2,7.923837,0.41777474,2.3029073529135436e-15,2.824829901169313e-13
COX5A,7.9039,0.4327122,2.703095464368551e-15,3.2858438829481854e-13
CD38,7.8999934,0.51731825,2.7891802285905695e-15,3.3602150736046925e-13
STRAP,7.869225,0.43828353,3.5684544352198546e-15,4.260987229594823e-13
KRTCAP2,7.7674356,0.44970015,8.009094426201609e-15,9.479536060766518e-13
HCLS1,7.7594543,0.40472874,8.529554670463155e-15,1.0007763579874727e-12
PDE4D,7.750011,0.48191512,9.18845033319013e-15,1.0687910374632275e-12
C1orf43,7.7392783,0.53564155,9.998262969774178e-15,1.1530475406082305e-12
UAP1,7.730152,0.56558555,1.0741825137261065e-14,1.2283003947208775e-12
SLC9A3R1,7.723731,0.41097376,1.129729228919996e-14,1.2809610492283619e-12
SLC16A3,7.718417,0.5638109,1.1778314205737056e-14,1.3243732798167507e-12
ZYX,7.7078657,0.5608838,1.2793923386159108e-14,1.417357434479223e-12
PNRC1,7.707652,0.3611956,1.2815356629842525e-14,1.417357434479223e-12
