Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Phospholipid Efflux (GO:0033700),2/11,4.119955371667932e-06,0.00080577631056141,0,0,1110.2777777777778,13767.076084012062,APOC1;APOE
GO_Biological_Process_2023,High-Density Lipoprotein Particle Remodeling (GO:0034375),2/15,7.861232298160098e-06,0.00080577631056141,0,0,768.5,9032.616380039904,APOC1;APOE
GO_Biological_Process_2023,Cholesterol Efflux (GO:0033344),2/23,1.892180082580604e-05,0.0012929897230967,0,0,475.54761904761904,5171.673477832365,APOC1;APOE
GO_Biological_Process_2023,Acylglycerol Metabolic Process (GO:0006639),2/41,6.118115139831833e-05,0.0030268557789289,0,0,255.83333333333331,2482.01093305674,APOC1;APOE
GO_Biological_Process_2023,Triglyceride Metabolic Process (GO:0006641),2/45,7.38257507055839e-05,0.0030268557789289,0,0,231.9883720930233,2207.0916614912107,APOC1;APOE
GO_Biological_Process_2023,Cholesterol Transport (GO:0030301),2/51,9.500271376770704e-05,0.0032459260537299,0,0,203.5204081632653,1884.9256503609552,APOC1;APOE
GO_Biological_Process_2023,Phospholipid Transport (GO:0015914),2/59,0.00012735414959412687,0.0037296572381137,0,0,174.8859649122807,1568.471557151653,APOC1;APOE
GO_Biological_Process_2023,Cell Junction Disassembly (GO:0150146),1/5,0.0014992198216206,0.0175513864411083,0,0,999.5,6499.559019889724,C1QB
GO_Biological_Process_2023,Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005),1/5,0.0014992198216206,0.0175513864411083,0,0,999.5,6499.559019889724,APOC1
GO_Biological_Process_2023,Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455),1/5,0.0014992198216206,0.0175513864411083,0,0,999.5,6499.559019889724,C1QB
GO_Biological_Process_2023,Lipoprotein Metabolic Process (GO:0042157),1/5,0.0014992198216206,0.0175513864411083,0,0,999.5,6499.559019889724,APOE
GO_Biological_Process_2023,Sterol Catabolic Process (GO:0016127),1/6,0.0017988408901478,0.0175513864411083,0,0,799.56,5053.709147518722,APOE
GO_Biological_Process_2023,Cholesterol Catabolic Process (GO:0006707),1/6,0.0017988408901478,0.0175513864411083,0,0,799.56,5053.709147518722,APOE
GO_Biological_Process_2023,Positive Regulation Of Amyloid-Beta Clearance (GO:1900223),1/6,0.0017988408901478,0.0175513864411083,0,0,799.56,5053.709147518722,APOE
GO_Biological_Process_2023,Positive Regulation Of Receptor Catabolic Process (GO:2000646),1/6,0.0017988408901478,0.0175513864411083,0,0,799.56,5053.709147518722,APOE
