names,scores,logfoldchanges,pvals,pvals_adj,Overlapping_Ref_Blood_Subtypes
CRIP1,14.573209,0.6690627,4.158881090870032e-48,7.014472819888669e-45,NK3
SH2D2A,14.537605,0.63780546,6.999921026284867e-48,1.0494437156406857e-44,NK1A
NME2,14.417798,0.87687105,3.9990061179087046e-47,4.905326322631105e-44,"NK2, NKint"
MIF,13.406379,0.56339484,5.548246706323168e-41,4.4036760475540284e-38,NKint
PSMB10,13.392083,0.6008433,6.726740153250086e-41,5.042439160433524e-38,NK1C
PPIB,13.275985,0.5607602,3.190472987431067e-40,2.1524526009703696e-37,NK1C
TAGLN2,12.861837,0.5490105,7.380144793167301e-38,3.8300112959310146e-35,NK2
CALR,12.427487,0.52969724,1.8536886204947984e-35,7.579339562526156e-33,NK1C
CREM,12.370945,0.56055474,3.7537947505676366e-35,1.4897044873355626e-32,NK1A
WDR1,12.26732,0.5374835,1.3567029066242802e-34,4.6938441843798494e-32,NK1C
RHOA,12.085141,0.51561505,1.265531221238758e-33,4.1648323824815995e-31,NK1C
SH2D1B,12.051506,0.5410933,1.9043883909786625e-33,6.118074418922641e-31,"NK1A, NK1B"
GNG2,11.856702,0.5135802,1.9864649428435607e-32,5.826819885606124e-30,NK1B
PDIA3,11.628186,0.50530094,2.963270634391091e-31,6.775370775781988e-29,NK1C
ARPC1B,10.655202,0.4569211,1.648870132782913e-26,2.0792714674429763e-24,NK1C
MYH9,10.4546175,0.4444394,1.3956031335729802e-25,1.5435141869918214e-23,NK1B
ANXA6,10.400433,0.44177783,2.468093396672097e-25,2.6641587361037285e-23,NK1C
PSME2,10.364174,0.4507978,3.608624442898868e-25,3.833950362837356e-23,NK1C
ENO1,10.3248415,0.44744426,5.440860699699514e-25,5.647194878541965e-23,NK1C
IFITM3,10.240299,0.4610829,1.3083084504093243e-24,1.3076300682498529e-22,"NK2, NKint"
TPM3,10.048009,0.45065746,9.374229992073984e-24,8.321479294937779e-22,NK1C
DBI,9.996005,0.43660006,1.586694847663279e-23,1.3636479986955812e-21,NK1C
NCL,9.906158,0.452024,3.914069249178711e-23,3.2007597805556573e-21,NK1B
CD38,9.743297,0.50572866,1.9705621298644336e-22,1.445043196644609e-20,NK1B
IGFBP7,9.673155,0.45410374,3.920996394119585e-22,2.7845265445187144e-20,NK1C
CNN2,9.619298,0.50115246,6.6282179211526295e-22,4.5168961823289114e-20,NKint
MAP3K8,9.535604,0.41369244,1.4901626281965237e-21,9.760565214687231e-20,"NKint, NK1A, NK1B"
ERP29,9.5076,0.39304292,1.9511281862529227e-21,1.2477048633701746e-19,NK3
DHRS7,9.352102,0.38446003,8.592296044826646e-21,5.019970139571489e-19,NK1C
PRDX5,9.239048,0.38680494,2.4869960441854748e-20,1.3316284771505798e-18,NK1C
LDHB,9.19343,0.39819333,3.805089924091424e-20,1.990003036657581e-18,NK2
CTSC,9.188869,0.39542678,3.969932598605702e-20,2.0602423289610287e-18,NK1C
PKM,9.151806,0.4274986,5.598940673984188e-20,2.8188994967936062e-18,NK3
CD99,9.102205,0.4343041,8.851599818465174e-20,4.311719723846592e-18,"NK1C, NK3"
PPP1CA,8.983902,0.3986499,2.6133151089116787e-19,1.14858178386141e-17,NK1C
IL2RG,8.936899,0.40966454,4.0024231720710875e-19,1.7309197391267685e-17,NK1C
MSN,8.835175,0.38897637,9.99422652342708e-19,4.013455311922666e-17,NK1B
FLNA,8.792977,0.37282205,1.4564728148029798e-18,5.520277441049609e-17,NK1B
CAPZB,8.790603,0.38345042,1.4876039762782969e-18,5.622476317065282e-17,NK1C
S1PR5,8.754342,0.41066995,2.0529810204040882e-18,7.610129919866032e-17,"NK1A, NK1B"
S100A11,8.580177,0.38371605,9.472688683672302e-18,3.1098537325739753e-16,NK3
JAK1,8.57836,0.39517266,9.623539257266764e-18,3.15099965656393e-16,"NK1A, NK1B"
YWHAZ,8.55158,0.40561572,1.2141470563853282e-17,3.854702642778173e-16,NK1B
VIM,8.52729,0.39440504,1.4981539345451608e-17,4.657739870695359e-16,NK3
APMAP,8.523819,0.36637536,1.5437712910230877e-17,4.777547254535441e-16,"NK1A, NK1B, NK1C"
