names,scores,logfoldchanges,pvals,pvals_adj
IFITM1,19.04129,0.8127102,7.759363375281025e-81,5.234854501133343e-77
GABARAP,15.808743,0.7320894,2.708199392445972e-56,7.3083468804547e-53
ARF5,15.499758,0.7328761,3.48204640506974e-54,7.830542023934333e-51
ATP6V0C,15.14292,0.8062927,8.438324414562075e-52,1.6265473046526584e-48
CRIP1,14.573209,0.6690627,4.158881090870032e-48,7.014472819888668e-45
SH2D2A,14.537605,0.63780546,6.999921026284867e-48,1.0494437156406857e-44
PPIA,14.526841,0.50886273,8.191190904619086e-48,1.1052373887602533e-44
NME2,14.417798,0.87687105,3.9990061179087046e-47,4.905326322631105e-44
GNG5,14.12885,0.5994434,2.522287674083046e-45,2.6179405835694264e-42
PGAM1,14.019115,0.63175786,1.1908994788152712e-44,1.1477719048324611e-41
RALY,13.866149,0.6016177,1.0158686148825923e-43,9.138076813740545e-41
MIF,13.406379,0.56339484,5.548246706323168e-41,4.4036760475540294e-38
PSMB10,13.392083,0.6008433,6.726740153250087e-41,5.042439160433524e-38
RAC2,13.345795,0.52871716,1.253263612121887e-40,8.900150483347695e-38
PPIB,13.275985,0.5607602,3.190472987431067e-40,2.1524526009703696e-37
EMD,13.2252245,0.6598107,6.2749426098235486e-40,4.031800030207102e-37
NAPA,12.9378805,0.6683174,2.751161302909193e-38,1.5467258108397392e-35
ALDOA,12.902298,0.55833364,4.3687256881412305e-38,2.357888628403585e-35
TAGLN2,12.861837,0.5490105,7.380144793167301e-38,3.830011295931015e-35
PCBP1,12.832081,0.5490707,1.0841320258356988e-37,5.41784941651892e-35
RNASEK,12.769238,0.6287829,2.4352657820348293e-37,1.1330703861033085e-34
PSMA6,12.726046,0.7073405,4.237643615827874e-37,1.9059508436121833e-34
PGK1,12.657665,0.5410218,1.014719647085828e-36,4.4166490961706705e-34
TAP1,12.463315,0.5451396,1.1834688325640522e-35,4.9901702993083614e-33
CALR,12.427487,0.52969724,1.8536886204947986e-35,7.579339562526156e-33
CREM,12.370945,0.56055474,3.753794750567637e-35,1.4897044873355626e-32
CDC37,12.329402,0.52977294,6.291215572016237e-35,2.425353477520431e-32
CDK2AP2,12.309674,0.5462176,8.034698226382648e-35,3.0114495324605856e-32
DDOST,12.30438,0.5892615,8.579257192712954e-35,3.1286464135479967e-32
RPN1,12.292897,0.7276222,9.88971914477483e-35,3.5116310636959675e-32
WDR1,12.26732,0.5374835,1.3567029066242804e-34,4.6938441843798504e-32
GNB2,12.225269,0.56506884,2.2782642329183828e-34,7.685154823691935e-32
RHOA,12.085141,0.51561505,1.265531221238758e-33,4.1648323824816e-31
SH2D1B,12.051506,0.5410933,1.9043883909786622e-33,6.11807441892264e-31
RAN,11.871452,0.50184506,1.6655041900762178e-32,5.226197217836839e-30
PSMB8,11.862344,0.50161266,1.8570371693361965e-32,5.694773301330295e-30
YWHAB,11.857179,0.51948583,1.975178705447743e-32,5.826819885606124e-30
GNG2,11.856702,0.5135802,1.9864649428435612e-32,5.826819885606124e-30
COX6A1,11.812874,0.498462,3.349153836706069e-32,9.614921855037231e-30
SLC25A5,11.808399,0.50440884,3.53220865237518e-32,9.929185697187148e-30
TPM4,11.796358,0.5400604,4.075705973170464e-32,1.1223163407344708e-29
LDHA,11.739789,0.50132895,7.968492509424978e-32,2.1503773885934245e-29
ZYX,11.717433,0.63486,1.0376887478590929e-31,2.6926027451659115e-29
PHB2,11.702,0.5939514,1.2448540267305864e-31,3.169210449561472e-29
STRAP,11.684461,0.5323719,1.5304764306177774e-31,3.824207125615865e-29
DCXR,11.672174,0.5485008,1.7684406253740252e-31,4.338467156031222e-29
RAB1B,11.666624,0.65122825,1.8876712571093668e-31,4.548276477174408e-29
