Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Gluconeogenesis (GO:0006094),10/32,8.097953134414491e-09,2.0649780492756947e-05,0,0,16.447435246317927,306.44293103000706,SLC25A1;PER2;GPI;CRTC2;PGAM1;POLR2D;PGK1;CRY1;SLC25A12;PGM1
GO_Biological_Process_2023,Hexose Biosynthetic Process (GO:0019319),10/35,2.140326067900857e-08,2.7289157365735923e-05,0,0,14.471508379888268,255.56282298962756,SLC25A1;PER2;GPI;CRTC2;PGAM1;POLR2D;PGK1;CRY1;SLC25A12;PGM1
GO_Biological_Process_2023,DNA-templated DNA Replication (GO:0006261),13/69,3.957410923081752e-08,3.3637992846194897e-05,0,0,8.432350187265918,143.7301740918331,GINS2;RRM1;RFC4;MCM7;POLDIP2;HMGA1;LRWD1;CDC34;POLD2;MCM4;MCM5;TOPBP1;MCM6
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),26/288,1.1022680885772661e-07,7.026959064680072e-05,0,0,3.655375012820325,58.56176039363993,FEN1;SMARCB1;MCM7;TRRAP;TYMS;UNG;POLD2;TOPBP1;KPNA2;NUDT15;POLH;UVRAG;XRCC6;RRM1;RFC4;LRWD1;MSH6;RAD51D;CDC34;GRWD1;CDK2;MCM4;MCM5;MCM6;DCTPP1;RAN
GO_Biological_Process_2023,Glucose Metabolic Process (GO:0006006),11/59,4.938703238996388e-07,0.00025187386518881583,0,0,8.296602922885572,120.47491177598776,SLC25A1;PER2;GPI;CRTC2;DCXR;PGAM1;POLR2D;CRY1;PGK1;SLC25A12;PGM1
GO_Biological_Process_2023,DNA Replication (GO:0006260),11/73,4.444784796985409e-06,0.0018890335387187,0,0,6.418542368801155,79.10069832788518,FEN1;RFC4;RNASEH1;MCM7;POLDIP2;GRWD1;POLD2;CDK2;MCM4;MCM5;MCM6
GO_Biological_Process_2023,Regulation Of Mitochondrial Membrane Permeability (GO:0046902),6/18,5.71188729984006e-06,0.0019304606473605,0,0,17.96765249537893,216.9227689799594,PPIF;MUL1;BAK1;SLC25A5;SLC25A4;BCL2L1
GO_Biological_Process_2023,Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),5/11,6.05634712897418e-06,0.0019304606473605,0,0,29.900061500615006,359.2314102296959,GINS2;MCM7;MCM4;MCM5;MCM6
GO_Biological_Process_2023,Nucleocytoplasmic Transport (GO:0006913),9/50,7.3937156230058e-06,0.0020948860931849,0,0,7.920391694623266,93.57847868191448,SEC13;LSG1;NUP205;RBM15B;NUP133;NUP85;RITA1;RANGAP1;BACH2
GO_Biological_Process_2023,Regulation Of DNA-templated DNA Replication Initiation (GO:0030174),5/12,1.0148721285115157e-05,0.0025838387103907,0,0,25.62730627306273,294.6669407339656,MCM7;GMNN;MCM4;MCM5;MCM6
GO_Biological_Process_2023,DNA Unwinding Involved In DNA Replication (GO:0006268),6/20,1.1382368399602564e-05,0.0025838387103907,0,0,15.399260628465804,175.2966368890658,GINS2;MCM7;HMGA1;MCM4;MCM5;MCM6
GO_Biological_Process_2023,Mitochondrial Transport (GO:0006839),9/53,1.2159240990073906e-05,0.0025838387103907,0,0,7.379224400135181,83.51378994214244,TIMM17A;PPIF;TIMM23;BAK1;SLC25A20;SLC25A5;SLC25A4;TOMM5;BCL2L1
GO_Biological_Process_2023,Extrinsic Apoptotic Signaling Pathway (GO:0097191),10/67,1.3184540899817042e-05,0.0025861984072718,0,0,6.336698356692476,71.20209284053027,MLLT11;DAXX;DIABLO;RIPK1;BAK1;TNFRSF1B;GABARAP;DEDD;RNF41;BCL2L1
GO_Biological_Process_2023,Mitochondrial Membrane Organization (GO:0007006),7/32,2.0460931159804835e-05,0.0037268124612501,0,0,10.073777777777778,108.76651104385938,CHCHD3;PPIF;IMMT;BAK1;SLC25A5;SLC25A4;BCL2L1
GO_Biological_Process_2023,Golgi Vesicle Transport (GO:0048193),17/197,3.1169723892061534e-05,0.0052988530616504,0,0,3.4343920335429767,35.63546921383386,NAPA;NSF;UVRAG;SEC24A;RAB1B;SURF4;TRAPPC5;SNX12;TRAPPC9;YIF1B;LMAN1;GOLPH3;TMEM115;RP2;HYOU1;TMED5;ARF5
