Functional_Signature,Mean_Score_Diff,P_Value_MWU,N_TUSC2_Expressed,N_TUSC2_Not_Expressed,Q_Value_FDR,Significance
NK2_Developmental,0.00396999484722399,0.00011873656076529878,4345,27779,0.0001662311850714183,***
NKint_Developmental,0.006447087116821348,0.0003559039325659374,4345,27779,0.00041522125466026034,***
NK1A_Developmental,0.014827212324236339,2.778196729131843e-14,4345,27779,7.778950841569161e-14,****
NK1B_Developmental,0.025375028074983874,1.5151026856587092e-36,4345,27779,7.070479199740644e-36,****
NK1C_Developmental,0.047271264470579166,2.933552531333746e-82,4345,27779,4.106973543867245e-81,****
NK3_Developmental,0.015885772344195415,6.4203686600657e-14,4345,27779,1.4980860206819967e-13,****
Activating_Receptors,0.015965016895145456,2.444883208605721e-10,4345,27779,4.889766417211442e-10,****
Inhibitory_Receptors,0.009330395133376718,0.0001406448728705684,4345,27779,0.0001790025654716325,***
Cytotoxicity_Machinery,0.02155217486418759,1.6587934888627822e-29,4345,27779,5.805777211019738e-29,****
Cytokine_Chemokine_Production,0.0020141489840129756,0.4304556649309259,4345,27779,0.4304556649309259,ns
Exhaustion_Suppression_Markers,0.004720084485477699,0.10805651139977486,4345,27779,0.11636855073821907,ns
Glycolysis,0.01204424420833583,1.4748887979266372e-07,4345,27779,2.581055396371615e-07,****
Oxidative_Phosphorylation,0.024006804465827092,8.41958166657228e-44,4345,27779,5.893707166600596e-43,****
Fatty_Acid_Metabolism,0.009704884643959855,1.3757456555227496e-05,4345,27779,2.1400487974798327e-05,****
