Functional_Signature,Mean_Score_Diff,P_Value_MWU,N_TUSC2_Expressed,N_TUSC2_Not_Expressed,Q_Value_FDR,Significance
NK2_Developmental,0.010689304660845611,3.5396716598552654e-08,3084,19708,4.5050366579976106e-08,****
NKint_Developmental,0.016546388294859327,1.4795221600479425e-09,3084,19708,2.0713310240671194e-09,****
NK1A_Developmental,0.023963836839222707,7.075107883318341e-18,3084,19708,1.4150215766636682e-17,****
NK1B_Developmental,0.04689219625623536,3.833807225896414e-66,3084,19708,2.68366505812749e-65,****
NK1C_Developmental,0.06487373340399272,4.2066345159012166e-102,3084,19708,5.889288322261704e-101,****
NK3_Developmental,0.03262337396240633,5.750760137029008e-30,3084,19708,1.3418440319734352e-29,****
Activating_Receptors,0.012992324542891287,2.603445499267838e-07,3084,19708,3.0373530824791444e-07,****
Inhibitory_Receptors,0.02057817527102168,2.7211286855787986e-13,3084,19708,4.232866844233686e-13,****
Cytotoxicity_Machinery,0.04369654711450366,4.782141514545155e-58,3084,19708,2.2316660401210725e-57,****
Cytokine_Chemokine_Production,0.0010527128672500607,0.9709275636274961,3084,19708,0.9709275636274961,ns
Exhaustion_Suppression_Markers,0.00498762201183181,0.24930260586864839,3084,19708,0.26847972939700593,ns
Glycolysis,0.04338636804754531,5.65542208042957e-57,3084,19708,1.9793977281503496e-56,****
Oxidative_Phosphorylation,0.014007533430500652,3.560059970917114e-15,3084,19708,6.230104949104949e-15,****
Fatty_Acid_Metabolism,0.0197868718881746,1.566968016806068e-36,3084,19708,4.38751044705699e-36,****
