Functional_Signature,Mean_Score_Diff,P_Value_MWU,N_TUSC2_Expressed,N_TUSC2_Not_Expressed,Q_Value_FDR,Significance
NK2_Developmental,0.02239224673354645,1.5432064867616766e-23,4419,30481,2.1604890814663473e-23,****
NKint_Developmental,0.026601211828429783,6.160184669271384e-25,4419,30481,9.582509485533263e-25,****
NK1A_Developmental,0.025635114917080704,1.3633484680049508e-29,4419,30481,2.385859819008664e-29,****
NK1B_Developmental,0.04387117850506517,4.514809330940262e-81,4419,30481,2.106911021105456e-80,****
NK1C_Developmental,0.06481406603389905,5.2421156681785165e-143,4419,30481,7.338961935449924e-142,****
NK3_Developmental,0.04149232609593623,1.1011306960509646e-73,4419,30481,3.853957436178376e-73,****
Activating_Receptors,0.005830932012711704,0.005394489528085948,4419,30481,0.006293571116100273,**
Inhibitory_Receptors,0.018670036373281934,1.250613237081831e-15,4419,30481,1.5916895744677848e-15,****
Cytotoxicity_Machinery,0.04981475114769607,2.0811910579549583e-84,4419,30481,1.456833740568471e-83,****
Cytokine_Chemokine_Production,0.005732396494926351,0.05525082443390615,4419,30481,0.05525082443390615,ns
Exhaustion_Suppression_Markers,0.007946053230072442,0.012679725720031053,4419,30481,0.013655089236956519,*
Glycolysis,0.03758166634350474,1.0100272320939598e-71,4419,30481,2.8280762498630873e-71,****
Oxidative_Phosphorylation,0.025483928076393436,1.6063000408251323e-33,4419,30481,3.2126000816502645e-33,****
Fatty_Acid_Metabolism,0.03067237598634981,9.188001726005732e-42,4419,30481,2.1438670694013377e-41,****
