	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
gene0	550	324	977	733	370	211	878	228	931	437
gene1	262	131	687	355	903	548	523	111	16	349
gene2	34	468	621	622	165	378	10	754	620	926
gene3	99	199	314	983	947	192	904	64	486	503
gene4	700	462	303	696	623	461	306	988	725	864
gene5	5	914	228	204	189	140	507	336	499	585
gene6	654	1	248	936	369	759	138	824	151	573
gene7	91	652	266	330	611	501	835	460	124	976
gene8	840	924	970	621	373	544	555	268	719	851
gene9	440	885	59	638	128	423	339	925	457	756
gene10	845	380	521	25	585	428	977	571	814	566
gene11	911	271	923	663	409	600	708	464	478	587
gene12	778	479	869	158	812	109	135	371	377	575
gene13	695	770	492	343	707	969	659	412	840	690
gene14	899	176	371	979	529	136	934	749	100	787
gene15	225	672	459	892	416	971	674	696	467	776
gene16	562	45	496	725	938	816	497	550	323	17
gene17	298	696	333	197	238	675	981	857	72	451
gene18	337	618	403	891	527	549	283	176	411	205
gene19	198	764	602	256	201	881	938	168	891	183
gene20	576	653	364	887	202	908	31	851	196	585
gene21	158	768	452	710	167	650	979	897	350	870
gene22	865	312	385	923	643	340	319	864	261	934
gene23	400	71	195	406	650	351	296	481	310	261
gene24	228	925	820	200	952	788	811	177	61	697
gene25	982	169	574	828	601	701	104	502	21	783
gene26	419	127	826	987	311	908	905	103	0	146
gene27	916	212	133	834	20	738	40	531	684	248
gene28	561	279	179	745	843	633	827	450	404	953
gene29	818	212	466	968	202	178	633	729	709	69
gene30	723	766	272	487	639	258	11	63	631	494
gene31	148	902	538	285	768	680	383	8	15	699
gene32	259	850	704	193	718	566	356	493	657	200
gene33	152	230	79	972	437	662	303	468	852	102
gene34	925	794	361	865	695	949	131	761	506	1
gene35	515	270	283	583	188	882	276	114	637	256
gene36	631	161	832	419	101	295	270	610	218	139
gene37	547	906	203	96	782	662	313	475	376	38
gene38	832	539	30	177	299	256	647	355	687	180
gene39	932	922	238	308	515	815	776	675	19	946
gene40	635	639	199	93	728	995	34	817	701	167
gene41	240	449	935	872	976	72	998	425	734	181
gene42	941	425	658	194	144	955	842	955	819	423
gene43	764	216	978	404	887	908	960	425	797	709
gene44	760	368	728	750	830	418	911	331	863	593
gene45	143	202	606	335	286	193	730	208	659	820
gene46	13	108	703	443	907	44	753	422	802	691
gene47	645	634	380	82	641	756	438	833	4	965
gene48	579	586	993	880	766	827	393	943	620	696
gene49	678	556	191	210	675	802	991	786	335	344
gene50	622	961	348	986	606	530	847	687	870	342
gene51	915	1	897	830	913	684	948	219	206	335
gene52	724	833	263	311	77	399	168	269	719	539
gene53	678	741	842	327	259	498	508	588	740	473
gene54	210	167	111	343	493	302	170	648	661	282
gene55	19	298	760	762	168	830	707	858	121	301
gene56	111	323	196	383	594	715	410	407	220	458
gene57	434	878	820	51	826	528	668	818	494	565
gene58	898	774	36	449	984	477	956	849	827	648
gene59	47	89	154	181	639	289	593	400	101	728
gene60	79	0	166	877	719	121	138	282	216	608
gene61	108	663	249	712	123	800	215	202	493	612
gene62	415	491	616	971	854	737	179	436	762	687
gene63	456	998	702	429	687	954	675	663	126	63
gene64	106	840	297	451	780	637	115	158	109	266
gene65	755	31	672	294	916	400	894	227	892	556
gene66	401	945	36	896	504	714	647	408	940	751
gene67	579	15	790	45	884	309	216	490	391	485
gene68	103	198	155	360	760	474	743	678	445	675
gene69	711	799	487	356	874	378	281	526	864	165
gene70	975	56	560	513	993	841	267	887	517	160
gene71	38	886	74	344	869	19	292	948	348	785
gene72	719	965	641	905	293	165	899	171	98	116
gene73	830	954	274	199	501	367	435	720	58	855
gene74	563	471	862	746	376	700	424	867	102	861
gene75	420	524	856	650	339	417	870	795	257	225
gene76	614	86	325	496	466	22	179	964	751	615
gene77	576	444	320	366	398	956	594	404	559	303
gene78	837	616	316	881	44	210	193	897	864	723
gene79	504	497	708	585	898	395	543	374	50	498
gene80	455	374	509	92	139	287	851	7	212	175
gene81	653	795	840	993	392	448	170	68	218	235
gene82	229	297	832	275	240	888	692	756	657	700
gene83	307	102	226	905	330	949	906	865	44	986
gene84	884	680	267	108	244	424	22	726	239	3
gene85	266	238	810	19	920	81	678	406	446	622
gene86	190	258	570	89	603	923	76	316	688	344
gene87	553	967	426	681	230	924	379	163	89	373
gene88	758	433	320	859	461	400	861	173	824	452
gene89	159	895	960	760	451	385	289	496	316	225
gene90	482	139	765	718	379	3	457	205	791	127
gene91	961	694	164	633	498	402	887	223	306	285
gene92	544	652	64	275	824	683	377	669	68	560
gene93	564	387	215	831	974	179	134	270	400	788
gene94	813	148	721	185	276	463	356	872	616	721
gene95	724	24	767	493	667	583	444	455	386	757
gene96	281	790	783	206	213	404	697	757	395	648
gene97	506	387	835	383	152	718	798	36	604	629
gene98	696	735	430	314	242	150	410	10	866	531
gene99	245	12	686	678	481	588	813	568	845	981
