	gene0	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29	gene30	gene31	gene32	gene33	gene34	gene35	gene36	gene37	gene38	gene39	gene40	gene41	gene42	gene43	gene44	gene45	gene46	gene47	gene48	gene49	gene50	gene51	gene52	gene53	gene54	gene55	gene56	gene57	gene58	gene59	gene60	gene61	gene62	gene63	gene64	gene65	gene66	gene67	gene68	gene69	gene70	gene71	gene72	gene73	gene74	gene75	gene76	gene77	gene78	gene79	gene80	gene81	gene82	gene83	gene84	gene85	gene86	gene87	gene88	gene89	gene90	gene91	gene92	gene93	gene94	gene95	gene96	gene97	gene98	gene99
0	3	9	5	7	9	4	3	4	7	3	1	4	3	3	1	4	4	7	5	5	1	2	5	7	4	7	7	8	5	8	2	4	4	9	7	3	9	4	4	1	3	9	8	6	1	7	3	9	2	4	2	6	7	8	7	8	8	3	8	6	7	2	9	5	5	1	8	7	1	2	4	6	7	1	8	6	4	2	8	7	4	8	5	8	2	3	2	1	3	7	6	6	6	9	7	9	2	2	8	4
1	8	1	6	1	5	8	7	3	1	7	9	7	1	2	8	6	6	9	5	3	2	1	4	7	9	8	9	9	2	2	5	2	4	2	4	4	6	2	2	8	5	4	5	4	9	2	6	2	7	9	6	6	5	7	6	5	2	2	8	4	1	5	1	5	3	8	6	4	9	5	6	2	8	2	2	7	2	1	3	9	5	6	2	8	5	2	4	7	5	8	5	4	2	2	8	2	8	5	6	9
2	5	5	2	5	9	3	5	8	5	5	6	5	6	5	2	3	3	1	4	4	6	7	7	8	6	4	6	7	1	5	1	7	3	7	9	6	3	7	4	8	8	5	8	8	3	3	2	3	8	9	3	2	2	4	7	8	9	6	4	2	1	3	9	7	9	2	6	8	8	5	5	3	4	3	8	1	5	3	8	3	3	2	7	2	4	3	8	4	1	7	1	7	2	2	5	5	4	3	4	5
3	2	2	1	7	2	6	2	2	5	5	7	4	7	1	2	9	7	2	5	7	4	5	3	2	9	6	5	1	1	5	7	9	9	2	1	5	4	7	8	8	1	9	8	6	1	9	3	8	4	5	1	2	3	2	5	7	7	3	1	2	7	7	9	1	7	6	6	8	2	8	3	5	5	2	4	7	3	4	9	3	4	1	9	4	2	6	1	1	6	8	4	2	7	1	3	1	5	7	2	3
4	8	2	1	5	7	4	3	3	3	1	4	5	9	4	7	4	5	2	1	4	3	5	8	9	8	3	6	9	8	5	7	3	9	3	6	4	8	4	5	9	2	5	8	8	5	2	8	9	2	8	8	7	8	3	1	1	5	2	8	6	2	2	5	4	5	1	7	8	6	2	2	8	4	1	9	3	4	6	2	5	9	4	5	2	4	4	2	1	9	4	4	7	4	8	2	8	6	9	2	1
5	8	4	6	5	3	5	8	1	5	2	3	3	1	5	7	4	2	1	1	6	2	9	8	3	4	6	5	2	2	5	4	3	1	3	8	6	7	7	3	2	6	8	6	4	2	3	5	7	9	9	8	7	6	4	4	9	3	9	9	9	5	8	3	9	7	3	1	2	8	3	1	2	5	8	8	5	9	5	5	4	2	1	4	3	6	1	7	7	2	2	7	9	5	9	8	8	2	8	7	8
6	4	1	3	7	7	4	5	2	5	4	5	6	7	5	5	1	7	1	6	8	8	5	5	7	5	8	8	2	6	1	8	6	7	5	9	7	6	1	5	4	5	3	7	7	8	6	3	5	2	6	9	5	3	7	5	6	9	1	7	8	2	2	9	3	5	8	4	5	7	7	3	1	4	8	2	8	8	7	7	2	7	2	8	5	1	8	3	9	5	1	4	2	6	1	4	6	3	8	4	1
7	9	4	9	4	4	3	3	1	6	1	5	5	1	2	7	3	6	9	8	4	2	4	6	1	6	4	3	8	5	1	7	6	8	2	7	2	1	2	8	9	7	3	9	7	5	2	1	1	1	2	8	6	1	3	3	2	3	4	9	1	7	8	2	1	4	7	5	5	5	1	8	7	1	2	9	9	2	8	3	3	6	9	8	6	2	1	8	5	5	6	2	7	5	3	1	2	8	3	7	9
8	4	8	5	7	3	9	5	3	4	9	3	2	3	4	3	3	4	4	1	9	9	3	9	7	2	5	1	9	6	1	7	5	7	6	1	7	4	2	3	2	6	6	2	6	3	4	6	3	3	6	8	5	4	3	7	3	1	1	3	9	6	9	5	6	1	3	6	8	8	7	2	1	3	2	8	6	7	8	1	8	8	3	3	6	1	2	1	8	7	6	1	5	1	7	3	1	7	7	5	3
9	1	2	8	2	2	1	2	2	8	1	7	9	2	6	2	5	4	4	3	1	1	7	7	6	7	3	7	3	3	1	1	5	9	8	5	8	5	3	4	6	8	6	9	6	8	4	2	4	7	8	5	7	9	9	7	6	7	7	8	9	6	8	6	6	3	3	1	2	5	5	8	6	5	7	7	1	6	7	2	5	7	9	6	9	2	1	1	9	4	4	8	4	6	6	8	7	2	6	7	5
